Datum,Intervall,Lawinengrad,Schneehöhe,Schneehöhe_Norm,Niederschlag,Lufttemperatur_7h,Lufttemperatur_7h_Norm,Lufttemperatur_7h_Gew,Lufttemperatur_14h,Lufttemperatur_14h_Norm,Lufttemperatur_14h_Gew,Lufttemperatur_19h,Lufttemperatur_19h_Norm,Lufttemperatur_19h_Gew,Schneetemperatur,Schneetemperatur_Norm,Schneetemperatur_Gew,Windrichtung,Windrichtung_Norm,Windrichtung_Gew,Windstärke,Windstärke_Norm,Windstärke_Gew,Einsinktiefe,Einsinktiefe_Norm,Einsinktiefe_Gew,Wetter_akt,Wetter_gestern,Wolken,Wolken_Norm,Neuschnee_x,Neuschnee_Norm,Neuschnee_Gew,Lawinenabgänge,Distanz,ZEIT,Lawinen_Art,Volumen,ID,meanExpo,meanSlope,stdDevSlope,MinSlope,MaxSlope,Altitude,Avalanche
1960-01-02 00:00:00, 1959/ 1960,55.0,85.0,105.8365758754864,3.0,-2.8,-22.4,20.0,-0.1,-0.8,10.0,-0.2,-1.6,-12.0,0.0,0.0,0.0,45.0,0.7071067811847431,-1.0,1.0,2.545584412278067,-3.6746164899965906e-11,12.0,120.0,60.0,2.0,0.0,3.0,30.0,0.0,0.0,15.0,0.0,52.75115595853283,,,,,275.52175426542595,42.58717894736842,7.489589473684211,3.4162157894736835,71.13368421052631,2555.3687789473684,0
1960-01-03 00:00:00, 1959/ 1960,55.0,84.0,101.3574660633484,16.0,-3.0,-24.0,-11.2,-2.0,-16.0,-0.4,-3.2,-25.6,-0.8,0.0,0.0,0.0,360.0,1.0,0.7071067811847431,1.0,7.349232979993181e-11,2.545584412278067,14.0,140.0,60.0,36.0,3.0,8.0,80.0,3.0,30.0,0.0,0.0,68.41069180216547,,,,,2.980624706433346,37.0667,6.0031,13.5869,50.02585,1967.5639,0
1960-01-04 00:00:00, 1959/ 1960,55.0,104.0,122.4429727740986,2.8,-5.0,-40.0,-12.0,-5.4,-43.2,-8.0,-6.0,-48.0,-12.8,0.0,0.0,0.0,135.0,-2.121320343575881,1.0,3.0,7.636753236756254,7.349232979993181e-11,38.0,380.0,70.0,77.0,7.0,8.0,80.0,20.0,200.0,30.0,1.0,228.3490887325487,1899-12-30 00:00:00,Lockerschneelawine naß,50000,11.0,83.42809660216442,39.152621276595745,7.412259574468084,7.983723404255319,62.52731063829788,2637.0868510638297,1
1960-01-05 00:00:00, 1959/ 1960,44.0,102.0,121.9275308180799,8.3,-7.0,-56.0,-20.0,-1.0,-8.0,-21.6,1.3,10.4,-24.0,0.0,0.0,0.0,135.0,-2.121320343575881,-2.121320343575881,3.0,7.636753236756254,7.636753236756254,35.0,350.0,190.0,1.0,1.0,0.0,0.0,40.0,400.0,209.0,0.0,311.6659480581802,,,,,313.3576608990387,41.10323333333333,5.3846,31.22615,54.98563333333333,2040.6385333333335,0
1960-01-06 00:00:00, 1959/ 1960,44.0,110.0,133.3333333333333,5.3,-6.5,-52.0,-28.0,-10.0,-80.0,-4.0,-11.0,-88.0,5.2,0.0,0.0,0.0,225.0,-3.535533905887629,-2.121320343575881,5.0,-12.72792206152024,7.636753236756254,40.0,400.0,175.0,38.0,3.0,8.0,80.0,10.0,100.0,463.0,0.0,301.7781807337939,,,,,232.7191915605427,37.897099999999995,6.44835,12.26605,59.39425,2155.53295,0
1960-01-07 00:00:00, 1959/ 1960,44.0,115.0,132.2314049586777,6.600000000000001,-10.0,-80.0,-26.0,-8.0,-64.0,-40.0,-8.0,-64.0,-44.0,0.0,0.0,0.0,225.0,-5.656854249420207,-3.535533905887629,8.0,-20.36467529843239,-12.72792206152024,34.0,340.0,200.0,37.0,3.0,8.0,80.0,8.0,80.0,240.0,3.0,178.2665278334175,1899-12-30 00:00:00,Staublawine,50,39.0,57.6558489858689,42.93221,9.835354999999998,1.7760500000000001,69.60602500000002,1719.594455,1
1960-01-07 00:00:00, 1959/ 1960,44.0,115.0,132.2314049586777,6.600000000000001,-10.0,-80.0,-26.0,-8.0,-64.0,-40.0,-8.0,-64.0,-44.0,0.0,0.0,0.0,225.0,-5.656854249420207,-3.535533905887629,8.0,-20.36467529843239,-12.72792206152024,34.0,340.0,200.0,37.0,3.0,8.0,80.0,8.0,80.0,240.0,3.0,178.2665278334175,1899-12-30 00:00:00,Staublawine,50,39.0,57.6558489858689,42.93221,9.835354999999998,1.7760500000000001,69.60602500000002,1719.594455,1
1960-01-07 00:00:00, 1959/ 1960,44.0,115.0,132.2314049586777,6.600000000000001,-10.0,-80.0,-26.0,-8.0,-64.0,-40.0,-8.0,-64.0,-44.0,0.0,0.0,0.0,225.0,-5.656854249420207,-3.535533905887629,8.0,-20.36467529843239,-12.72792206152024,34.0,340.0,200.0,37.0,3.0,8.0,80.0,8.0,80.0,240.0,3.0,178.2665278334175,1899-12-30 15:30:00,Staublawine,250,32.0,291.03853265339706,44.495709090909095,5.800336363636363,15.979145454545455,61.01829999999998,2256.9431545454545,1
1960-01-08 00:00:00, 1959/ 1960,44.0,140.0,152.1222410865874,5.2,-8.0,-64.0,-40.0,-8.2,-65.6,-32.0,-9.8,-78.4,-32.0,0.0,0.0,0.0,135.0,-0.7071067811919605,-5.656854249420207,1.0,2.545584412252084,-20.36467529843239,40.0,400.0,170.0,70.0,7.0,8.0,80.0,25.0,250.0,150.0,0.0,269.251979282513,,,,,55.32502943698503,38.3117,2.6726,30.3754,45.4725,2042.2484,0
1960-01-09 00:00:00, 1959/ 1960,44.0,135.0,144.4332998996991,4.3,-10.0,-80.0,-32.0,-12.5,-100.0,-32.8,-16.0,-128.0,-39.2,0.0,0.0,0.0,135.0,-0.7071067811919605,-0.7071067811919605,1.0,2.545584412252084,2.545584412252084,40.0,400.0,200.0,70.0,7.0,8.0,80.0,14.0,140.0,284.0,0.0,262.2532696095432,,,,,62.0049110699424,41.47410000000001,8.8765,1.4180933333333334,65.95022,2223.0630533333333,0
